시·도,도시,"측정소코드",측정소명
서울,서울,111121,중구
,,111123,종로구
,,111131,용산구
,,111141,광진구
,,111142,성동구
,,111151,중랑구
,,111152,동대문구
,,111161,성북구
,,111171,도봉구
,,111181,은평구
,,111191,서대문구
,,111201,마포구
,,111212,강서구
,,111221,구로구
,,111231,영등포구
,,111241,동작구
,,111251,관악구
,,111261,강남구
,,111262,서초구
,,111273,송파구
,,111274,강동구
,,111281,금천구
,,111291,강북구
,,111301,양천구
,,111311,노원구
부산,부산,221112,광복동
,,221172,대연동
,,221181,학장동
,,221182,덕천동
,,221202,장림동
,,221152,전포동
,,221221,연산동
,,221141,태종대
,,221191,청룡동
,,221192,좌동
,,221211,대저동
,,221212,녹산동
,,221231,기장읍
,,221251,부곡동
,,221271,광안동
,,221163,명장동
,,221233,용수리
,,221241,수정동
,,221281,대신동
,,221282,덕포동
,,221283,개금동
,,221284,당리동
,,221193,재송동
,,221142,청학동
,,221183,화명동
대구,대구,422114,수창동
,,422115,지산동
,,422121,서호동
,,422132,이현동
,,422141,대명동
,,422153,노원동
,,422154,신암동
,,422155,태전동
,,422161,만촌동
,,422171,호림동
,,422201,유가읍
,,422203,시지동
,,422204,진천동
,,422205,다사읍
,,422206,본동
인천,인천,823611,신흥
,,823621,송림
,,823631,구월
,,823632,숭의
,,823641,부평
,,823651,연희
,,823652,검단
,,823662,계산
,,823671,고잔
,,823681,석남
,,823691,송해
,,823701,동춘
,,823702,운서
,,823704,논현
,,823801,원당
,,823706,송도
,,823705,청라
,,823802,길상
,,823803,삼산
,,831493,영흥
광주,광주,324115,서석동
,,324121,농성동
,,324133,두암동
,,324135,건국동
,,324141,송정1동
,,324142,오선동
,,324155,주월동
,,324124,노대동
,,324148,평동
대전,대전,525111,읍내동
,,525112,문평동
,,525121,문창동
,,525141,구성동
,,525142,노은동
,,525161,성남동
,,525171,정림동
,,525172,둔산동
,,525162,대성동
,,525143,상대동
울산,울산,238120,대송동
,,238121,성남동
,,238122,부곡동
,,238123,여천동
,,238124,야음동
,,238125,삼산동
,,238127,신정동
,,238128,덕신리
,,238129,무거동
,,238130,효문동
,,238371,화산리
,,238373,상남리
,,238374,농소동
,,238375,삼남면
,,238376,약사동
,,238381,전하동
,,238377,웅촌면
세종,세종,541111,신흥동
,,541112,아름동
,,541113,한솔동
,,541114,부강면
경기,수원,131111,신풍동
,,131112,인계동
,,131113,광교동
,,131114,영통동
,,131115,천천동
,,131117,고색동
,,131118,호매실동
,안양,131141,안양6동
,,131142,부림동
,,131144,호계동
,,131145,안양2동
,성남,131121,단대동
,,131123,정자동
,,131124,수내동
,,131126,복정동
,,131128,운중동
,,131129,상대원동
,의정부,131131,의정부동
,,131132,의정부1동
,광명,131161,철산동
,,131163,소하동
,안산,131191,고잔동
,,131192,원시동
,,131193,본오동
,,131194,원곡동
,,131195,부곡동
,,131196,대부동
,,131197,호수동
,평택,131341,비전동
,,131342,안중
,,131343,평택항
,,131344,송북동
,,131345,청북읍
,과천,131201,별양동
,,131202,과천동
,구리,131211,교문동
,,131212,동구동
,의왕,131222,부곡3동
,,131223,고천동
,고양,131381,행신동
,,131382,식사동
,,131384,신원동
,,131385,주엽동
,광주,131392,경안동
,,131394,오포읍
,군포,131501,당동
,,131502,산본동
,시흥,131231,정왕동
,,131232,시화산단
,,131233,대야동
,,131234,목감동
,부천,831151,소사본동
,,831152,내동
,,831153,중2동
,,831154,오정동
,남양주,131241,금곡동
,,131242,오남읍
,,131243,별내동
,,131244,화도읍
,용인,131411,김량장동
,,131412,수지
,,131413,기흥
,,131415,모현읍
,,131416,이동읍
,,131417,백암면
,김포,131471,사우동
,,131472,고촌읍
,,131473,월곶면
,,131474,한강신도시
,오산,131531,오산동
,하남,131541,신장동
,화성,131551,남양읍
,,131552,향남
,,131553,동탄
,,131555,청계동
,,131554,우정읍
,양주,131561,백석읍
,,131562,고읍
,동두천,131571,보산동
,안성,131581,봉산동
,,131583,공도읍
,여주,131591,여주
,,131592,대신면
,연천군,131601,연천
,가평군,131611,가평
,양평군,131621,양평
,이천,131442,창전동
,,131443,장호원읍
,,131444,부발읍
,파주,131371,금촌동
,,131372,운정
,,131374,파주읍
,포천,131453,선단동
,,131454,일동면
강원,춘천,132112,중앙로
,,132113,석사동
,강릉,632132,옥천동
,원주,632121,중앙동
,,632122,반곡동
,,632124,문막읍
,동해,632151,천곡동
,삼척,632161,남양동
,평창,632171,평창읍
,횡성,632432,횡성군
,고성,632441,상리
,양구,132402,양구읍
,정선,632372,정선읍사무소
,양양,632451,양양군
,속초,632461,속초시
,영월,632491,영월읍
,철원,632472,철원군
,홍천,632481,홍천읍
,화천,632501,화천군
,태백,632511,태백시
,인제,632521,인제군
충북,청주,533112,송정동
,,533113,사천동
,,533114,용담동
,,533115,용암동
,,633211,오창읍
,,633213,산남동
,,633214,오송읍
,충주,633122,호암동
,,633123,칠금동
,,633124,중앙탑면
,,633125,살미면
,제천,633131,장락동
,단양군,633311,매포읍
,,633312,단성면
,,633313,단양읍
,진천군,633411,진천읍
,,633412,덕산읍
,옥천군,634111,옥천읍
,영동군,633471,영동읍
,증평군,633481,증평읍
,괴산,633362,괴산읍
,음성,633462,음성읍
,보은,633491,보은읍
충남,천안,534111,성황동
,,534112,백석동
,,534115,성거읍
,,534116,신방동
,,534434,당진시청사
,,534433,송산면
,서산,534421,독곶리
,,534422,동문동
,,534423,대산리
,,534424,성연면
,아산,534441,모종동
,,534442,배방읍
,,534443,도고면
,,534444,둔포면
,,534445,인주면
,논산,534451,논산
,태안,534462,이원면
,,534463,태안읍
,보령,534481,대천2동
,,534482,주교면
,홍성군,534491,홍성읍
,공주,534342,공주
,부여,534411,부여읍
,청양군,534502,청양읍
,금산군,534501,금산읍
,예산군,534471,예산군
,계룡,534510,엄사면
,서천,735520,서천읍
,,735521,서면
,홍성,534492,내포
,서천,735522,장항읍
전북,전주,335115,노송동
,,735111,삼천동
,,735114,팔복동
,,735115,송천동
,,735117,혁신동
,군산,735121,신풍동
,,735122,소룡동
,,735123,개정동
,,735124,옥산면
,,735125,비응도동
,,735136,함열읍
,,735133,팔봉동
,,735134,모현동
,,735131,삼기면
,,735135,용동면
,남원,735151,죽항동
,정읍,735141,연지동
,,735142,신태인
,고창군,735161,고창읍
,,735162,심원면
,부안군,735171,부안읍
,김제,735181,요촌동
,완주,735191,고산면
,,735192,봉동읍
,진안,735201,진안읍
,무주,735371,무주읍
,임실,735361,임실읍
,순창,735381,순창읍
,장수,735391,장수읍
전남,여수,336121,서강동
,,336124,월내동
,,336125,문수동
,,336127,여천동
,,336128,덕충동
,,336223,삼일동
,,336222,율촌면
,,336221,화양면
,광양,336352,중동
,,336353,태인동
,,336354,진상면
,,336355,광양읍
,순천,336131,장천동
,,336132,연향동
,,336133,순천만
,,336134,호두리
,,336135,신대
,목포,336111,용당동
,,336112,부흥동
,영암,336441,나불리
,나주,336141,빛가람동
,담양,336151,담양읍
,장성,336161,장성읍
,해남,336361,해남읍
,영광,336461,영광읍
,장흥,336471,장흥읍
,진도,336481,진도읍
,완도,336491,신지면
,함평,336501,함평읍
,화순,336452,화순읍
,고흥,336511,고흥읍
,신안,336521,신안군
,무안,336531,무안읍
,강진,336541,강진읍
,구례,336561,구례읍
,곡성,336551,곡성읍
,보성,336571,벌교읍
경북,포항,437112,장흥동
,,437113,장량동
,,437114,대도동
,,437115,대송면
,,437116,3공단
,,437117,송도동
,,437118,오천읍
,,437119,청림동
,구미,437151,공단동
,,437152,원평동
,,437153,형곡동
,,437154,4공단
,김천,437131,문당동
,,437132,대광동
,,437133,율곡동
,경주,437122,성건동
,,437123,보덕동
,,437124,안강읍
,,437125,외동읍
,안동,437141,명륜동
,영주,437161,가흥동
,경산,437171,중방동
,상주,437181,상주시
,칠곡군,437191,칠곡군
,영천,437402,영천시
,울진군,437421,울진군
,봉화군,437431,석포면
,울릉군,437542,울릉읍
,고령,437551,대가야읍
,영덕,437201,영덕읍
,의성,437412,의성읍
,군위,437561,군위군
,성주,437221,성주군
,예천,437581,예천군
,청도,437591,화양읍
,청송,735601,청송군
,영양,437571,영양군
,문경,437211,문경시
경남,창원,238111,회원동
,,238112,봉암동
,,238141,명서동
,,238142,웅남동
,,238143,성주동
,,238144,용지동
,,238146,사파동
,,238151,경화동
,,238152,월영동
,진주,238131,상봉동
,,238132,대안동
,,238133,상대동
,하동군,238161,하동읍
,김해,238181,동상동
,,238182,삼방동
,,238183,장유동
,,238184,진영읍
,거제,238201,아주동
,양산,238361,북부동
,,238362,웅상읍
,사천,238211,사천읍
,밀양,238401,내일동
,통영,238411,무전동
,고성,238421,고성읍
,거창,238431,거창읍
,함안,238441,가야읍
,함양,238451,함양읍
,남해,238461,남해읍
,산청,238471,산청읍
,의령,238491,의령읍
,창녕,238501,창녕읍
,합천,238511,합천읍
제주,제주,339111,이도동
,,339112,연동
,서귀포,339121,동홍동
,,339122,성산읍
,,339131,대정읍
,,339123,남원읍
서울,서울,111122,한강대로
,,111124,청계천로
,,111125,종로
,,111143,강변북로
,,111154,홍릉로
,,111162,정릉로
,,111202,신촌로
,,111213,공항대로
,,111232,영등포로
,,111242,동작대로
,,111263,도산대로
,,111264,강남대로
,,111275,천호대로
,,111312,화랑로
,,111282,시흥대로
부산,부산,221162,온천동
,,221131,초량동
,,221901,부산북항
,,221902,부산신항
대구,대구,422202,이곡동
,,422133,평리동
인천,인천,823633,석바위
,,823634,부평역
,,823703,송현
,,823612,서해
,,823636,남동
광주,광주,324123,치평동
,,324134,운암동
대전,대전,525151,대흥동2
,,525173,월평동
울산,울산,238126,신정로
경기,성남,131125,성남대로(모란역)
,,131120,대왕판교로(백현동)
,수원,131116,경수대로(동수원)
,부천,831155,송내대로(중동)
,고양,131383,백마로(마두역)
,안산,131198,중앙대로(고잔동)
,용인,131414,중부대로(구갈동)
,오산,131532,금암로(신장동)
충북,청주,533116,복대동
충남,천안,534114,성성동
전북,전주,735116,서신동
경남,창원,238145,반송로
제주,제주,339211,노형로
인천,옹진군,831492,백령도
경북,울릉군,437541,태하리
제주,제주,339312,고산리
인천,강화군,831481,석모리
,웅진군,831491,덕적도
경기,이천,131441,설성면
,포천,131451,관인면
,파주,131373,파주
강원,고성군,632421,간성읍
,양구군,132401,방산면
,정선군,632371,북평면
,횡성군,632431,치악산
충북,괴산군,633361,청천면
,음성군,633461,금왕
충남,공주,534341,사곡면
,태안군,534461,파도리
전북,임실군,735351,운암면
,부안군,735172,새만금
전남,화순군,336451,송단리
경북,영덕군,437371,지품면
,영천,437401,화북면
,의성군,437411,안계
경남,거창군,238481,남상면
,창원,238241,대산면
,거제,238191,저구리
서울,서울,111201,마포구
,,111141,광진구
,,111221,구로구
,,111273,송파구
,,111265,양재동
부산,부산,221251,부곡동
,,221182,덕천동
,,221221,연산동
,,221181,학장동
,,221132,광안동
대구,대구,422114,수창동
,,422141,대명동
,,422115,지산동
,,422132,이현동
인천,인천,823611,신흥
,,823631,구월
,,823641,부평
,,823651,연희
,,823671,고잔
광주,광주,324121,농성동
,,324122,서  동
,,324133,두암동
,,324135,건국동
,,324124,노대동
,,324148,평동
대전,대전,525121,문창동
,,525171,정림동
,,525141,구성동
,,525111,읍내동
울산,울산,238123,여천동
,,238124,야음동
,,238127,신정동
,,238128,덕신리
,,238381,전하동
경기,의정부시,131132,의정부1동
,평택시,131343,평택항
,안산,131192,원시동
,수원,131111,신풍동
,가평군,131611,가평읍
,안성,131582,안성
,포천,131459,가산면
강원,춘천,132115,신북읍1
,,132112,중앙로
,,132117,은하수로
,원주,632123,우산동
,,132501,문막공단
충북,청주,533112,송정동
,단양군,633311,매포읍
충남,천안,534111,성황동
,당진,534433,송산면
,서산,534421,독곶리
전북,전주,735111,삼천동
전남,여수,336127,여천동
,,336123,쌍봉동
,,336129,율촌면
경북,포항,437112,장흥동
,,437113,장량동
,,437115,대송면
,,437116,3공단
,,437431,석포면
경남,창원,238141,명서동
,,238112,봉암동
,하동군,238161,하동읍
서울,서울,111181,은평구
부산,부산,221141,태종대
,,221153,당감동
,,221173,대연동
,,221232,정관면
,,221252,장전동
대구,대구,422156,산격동
,,422141,대명동
인천,인천,823631,구월동
,강화군,831481,석모리
경기,포천,131451,관인면
,,131393,송정동
,부천,831151,소사본동
,수원,131111,신풍동
,양평군,131431,강하면
전남,여수,336126,중흥동
,광양,336356,골약동
경남,하동군,238161,하동읍
서울,서울,111261,강남구
,,111122,한강대로
,,111141,광진구
부산,부산,221182,덕천동
,,221221,연산동
대구,대구,422141,대명동
,,422161,만촌동
인천,인천,823631,구월
,,823651,연희
,강화군,831481,석모리
광주,광주,324121,농성동
,,324149,하남동
대전,대전,525141,구성동
울산,울산,238127,신정동
,,238123,여천동
,,238381,전하동
경기,시흥,131231,정왕동
,수원,131111,신풍동
,가평군,131611,가평읍
,안성,131582,안성
,포천,131459,가산면
강원,춘천,132113,석사동
,양구군,132401,방산면
충남,태안군,534461,파도리
,천안,534111,성황동
,서산,534421,독곶리
,당진,534433,송산면
충북,청주,533112,봉명동
,청주,633212,오창산단
전북,전주,735111,삼천동
,군산,735122,소룡동
,임실군,735351,운암면
전남,여수,336127,여천동
,광양,336352,중동
,영암군,336449,대불
경북,포항,437115,대송면
경남,창원,238141,명서동
,,238112,봉암동
서울,서울,111181,은평구
,,111141,광진구
부산,부산,221182,덕천동
,,221221,연산동
대구,대구,422115,지산동
,,422141,대명동
인천,인천,823631,구월
,강화군,831481,석모리
,웅진군,831491,덕적도
광주,광주,324121,농성동
대전,대전,525141,구성동
울산,울산,238127,신정동
경기,안산,131191,고잔동
,수원,131111,신풍동
,이천,131441,설성면
,포천,131451,관인면
강원,춘천,132113,석사동
,강릉,632132,옥천동
,원주,632122,명륜동
,고성군,632421,간성읍
,양구군,132401,방산면
충북,청주,533112,봉명동
,괴산군,633361,청천면
충남,태안군,534461,파도리
,천안,534111,성황동
,당진,534433,송산면
,공주,534341,사곡면
전북,전주,735111,삼천동
,익산,735132,남중동
,임실군,735351,운암면
전남,여수,336127,여천동
,광양,336352,중동
,목포,336111,용당동
경북,영덕군,437371,지품면
,영천,437401,화북면
,김천,437131,문당동
,안동,437141,명륜동
,포항,437115,대송면
경남,창원,238141,명서동
,거제,238191,저구리
,거창군,238481,남상면
제주,제주,339312,고산리
